name,type,start_time,duration,"mosi","miso"
"SPI","result",0.0024904,0.0000076,0x00,0x00
"SPI","result",0.0025001,0.0000076,0x00,0x00
"SPI","result",0.0025098,0.0000076,0x00,0x00
"SPI","result",0.0025196,0.0000076,0x00,0x00
"SPI","result",0.0025293,0.0000076,0x00,0x00
"SPI","result",0.002539,0.0000076,0x00,0x01
"SPI","result",0.0025488,0.0000076,0x00,0x04
"SPI","result",0.0025578,0.0000076,0x00,0x00
"SPI","result",0.0025668,0.0000076,0x00,0x01
"SPI","result",0.0025758,0.0000076,0x00,0xC4
"SPI","result",0.0026052,0.0000076,0x3F,0x00
"SPI","result",0.0026142,0.0000076,0xD4,0x00
"SPI","result",0.0026232,0.0000076,0x00,0x00
"SPI","result",0.0026322,0.0000076,0x24,0x00
"SPI","result",0.0026553,0.0000076,0x00,0x00
"SPI","result",0.0026651,0.0000076,0x00,0x00
"SPI","result",0.0026749,0.0000076,0x00,0x00
"SPI","result",0.0026848,0.0000076,0x00,0x00
"SPI","result",0.0026947,0.0000076,0x00,0x00
"SPI","result",0.0027044,0.0000076,0x00,0x00
"SPI","result",0.0027142,0.0000076,0x00,0x00
"SPI","result",0.002724,0.0000076,0x00,0x00
"SPI","result",0.0027337,0.0000076,0x00,0x00
"SPI","result",0.0027434,0.0000077,0x00,0x00
"SPI","result",0.0027532,0.0000076,0x00,0x00
"SPI","result",0.0027629,0.0000076,0x00,0x00
"SPI","result",0.0027726,0.0000076,0x00,0x00
"SPI","result",0.0027823,0.0000076,0x00,0x01
"SPI","result",0.0027924,0.0000076,0x80,0x00
"SPI","result",0.0028014,0.0000076,0x01,0x00
"SPI","result",0.0028104,0.0000076,0x00,0x00
"SPI","result",0.0028194,0.0000076,0x00,0x00
"SPI","result",0.0028284,0.0000076,0x04,0x00
"SPI","result",0.0028374,0.0000076,0x16,0x00
"SPI","result",0.0028464,0.0000076,0x00,0x00
"SPI","result",0.0028554,0.0000076,0x00,0x00
"SPI","result",0.0028644,0.0000076,0x01,0x00
"SPI","result",0.0028734,0.0000076,0x61,0x00
"SPI","result",0.0028824,0.0000076,0x00,0x00
"SPI","result",0.0028914,0.0000076,0x00,0x00
"SPI","result",0.0029004,0.0000076,0x00,0x00
"SPI","result",0.0029094,0.0000076,0x00,0x00
"SPI","result",0.0029184,0.0000076,0x00,0x00
"SPI","result",0.0029274,0.0000076,0x00,0x00
"SPI","result",0.0029364,0.0000076,0x00,0x00
"SPI","result",0.0029454,0.0000076,0x01,0x00
"SPI","result",0.0029544,0.0000076,0x80,0x00
"SPI","result",0.0029634,0.0000076,0x00,0x00
"SPI","result",0.0029724,0.0000076,0x00,0x00
"SPI","result",0.0029814,0.0000076,0x01,0x00
"SPI","result",0.0029904,0.0000076,0x00,0x00
"SPI","result",0.0029994,0.0000076,0x00,0x00
"SPI","result",0.0030084,0.0000076,0x00,0x00
"SPI","result",0.0030174,0.0000076,0x00,0x00
"SPI","result",0.0030264,0.0000076,0x03,0x00
"SPI","result",0.0030354,0.0000076,0xFA,0x00
"SPI","result",0.0030444,0.0000076,0x00,0x00
"SPI","result",0.0030534,0.0000076,0x40,0x00
"SPI","result",0.0030624,0.0000076,0x2C,0x00
"SPI","result",0.0030714,0.0000076,0x28,0x00
"SPI","result",0.0030804,0.0000076,0x5C,0x00
"SPI","result",0.0030894,0.0000076,0xE9,0x00
"SPI","result",0.0030984,0.0000076,0x2D,0x00
"SPI","result",0.0031074,0.0000076,0x89,0x00
"SPI","result",0.0031164,0.0000076,0xF2,0x00
"SPI","result",0.0031254,0.0000076,0x40,0x00
"SPI","result",0.0031344,0.0000076,0x31,0x00
"SPI","result",0.0031434,0.0000076,0xD4,0x00
"SPI","result",0.0031524,0.0000076,0x01,0x00
"SPI","result",0.0031614,0.0000076,0xF1,0x00
"SPI","result",0.0031704,0.0000076,0x02,0x00
"SPI","result",0.0031794,0.0000076,0x1D,0x00
"SPI","result",0.0031884,0.0000076,0x4C,0x00
"SPI","result",0.0031974,0.0000076,0xE4,0x00
"SPI","result",0.0032064,0.0000076,0x81,0x00
"SPI","result",0.0032154,0.0000076,0x09,0x00
"SPI","result",0.0032244,0.0000076,0x3F,0x00
"SPI","result",0.0032334,0.0000076,0xA7,0x00
"SPI","result",0.0032424,0.0000076,0xB5,0x00
"SPI","result",0.0032514,0.0000076,0x3E,0x00
"SPI","result",0.0032604,0.0000076,0x00,0x00
"SPI","result",0.0032694,0.0000076,0x89,0x00
"SPI","result",0.0032784,0.0000076,0x0E,0x00
"SPI","result",0.0032874,0.0000076,0x59,0x00
"SPI","result",0.0032964,0.0000076,0x41,0x00
"SPI","result",0.0033054,0.0000076,0x30,0x00
"SPI","result",0.0033144,0.0000076,0x3C,0x00
"SPI","result",0.0033234,0.0000076,0x9C,0x00
"SPI","result",0.0033324,0.0000076,0xDF,0x00
"SPI","result",0.0033414,0.0000076,0x2D,0x00
"SPI","result",0.0033503,0.0000077,0x5E,0x00
"SPI","result",0.0033593,0.0000077,0x40,0x00
"SPI","result",0.0034001,0.0000076,0x3F,0x00
"SPI","result",0.0034091,0.0000076,0xD4,0x00
"SPI","result",0.0034181,0.0000076,0x00,0x00
"SPI","result",0.0034271,0.0000076,0x24,0x00
